split,z0,z1,signed_cost,dz0_dt,dz1_dt
train,-0.12,-0.12,-0.009349668039135173,0.0,0.024288849474196628
heldout,-0.12,-0.108,-0.009624125474153256,0.0,0.02145016362559149
train,-0.12,-0.096,-0.009864379458156547,0.0,0.018588344528336354
heldout,-0.12,-0.08399999999999999,-0.010070154929049502,0.0,0.015703815846312974
train,-0.12,-0.072,-0.010241181939095068,0.0,0.012797006298803648
heldout,-0.12,-0.06,-0.010377195715230436,0.0,0.009868349598318726
train,-0.12,-0.04799999999999999,-0.010477936718478631,0.0,0.006918284370382999
heldout,-0.12,-0.03599999999999999,-0.010543150702486792,0.0,0.003947254078318085
train,-0.12,-0.023999999999999994,-0.010572588771136537,0.0,0.0009557069491350489
heldout,-0.12,-0.011999999999999997,-0.010566007435253044,0.0,-0.0020559040994627686
train,-0.12,0.0,-0.010523168668372329,0.0,-0.005087121542624029
heldout,-0.12,0.01200000000000001,-0.010443839961577384,0.0,-0.00813748332606501
train,-0.12,0.02400000000000002,-0.010327794377372412,0.0,-0.011206522948226105
heldout,-0.12,0.036000000000000004,-0.01017481060260661,0.0,-0.014293769537432333
train,-0.12,0.048000000000000015,-0.009984673000416167,0.0,-0.017398747927666047
heldout,-0.12,0.06,-0.00975717166118617,0.0,-0.02052097875709924
train,-0.12,0.07200000000000001,-0.009492102452520412,0.0,-0.02365997853581714
heldout,-0.12,0.08400000000000002,-0.009189267068207885,0.0,-0.026815259733248276
train,-0.12,0.096,-0.00884847307617509,0.0,-0.02998633087114566
heldout,-0.12,0.10800000000000001,-0.008469533965415721,0.0,-0.033172696598249285
train,-0.12,0.12,-0.008052269191889838,0.0,-0.03637385778632041
heldout,-0.108,-0.12,-0.007294370840154496,0.0,0.02490172630542631
train,-0.108,-0.108,-0.007576086727470455,0.0,0.02204697861302174
heldout,-0.108,-0.096,-0.007823404618997443,0.0,0.019168797621149647
train,-0.108,-0.08399999999999999,-0.008036045866151698,0.0,0.016267609354581047
heldout,-0.108,-0.072,-0.008213736963440854,0.0,0.013343844964541773
train,-0.108,-0.06,-0.008356209609513776,0.0,0.010397940643780412
heldout,-0.108,-0.04799999999999999,-0.008463200767308443,0.0,0.007430337564395817
train,-0.108,-0.03599999999999999,-0.008534452723306107,0.0,0.004441481802619496
heldout,-0.108,-0.023999999999999994,-0.008569713145871072,0.0,0.0014318242483324362
train,-0.108,-0.011999999999999997,-0.00856873514266454,0.0,-0.0015981794529440485
heldout,-0.108,0.0,-0.008531277317123664,0.0,-0.0046480689949723875
train,-0.108,0.01200000000000001,-0.008457103823993117,0.0,-0.007717379480187692
heldout,-0.108,0.02400000000000002,-0.008345984423901776,0.0,-0.010805641504629815
train,-0.108,0.036000000000000004,-0.008197694536965172,0.0,-0.013912381242042748
heldout,-0.108,0.048000000000000015,-0.008012015295413288,0.0,-0.017037120510765558
train,-0.108,0.06,-0.007788733595225916,0.0,-0.02017937687864846
heldout,-0.108,0.07200000000000001,-0.007527642146771041,0.0,-0.023338663729943754
train,-0.108,0.08400000000000002,-0.007228539524426036,0.0,-0.026514490358842124
heldout,-0.108,0.096,-0.0068912302151878935,0.0,-0.029706362051906687
train,-0.108,0.10800000000000001,-0.006515524666246941,0.0,-0.03291378016967439
heldout,-0.108,0.12,-0.006101239331523511,0.0,-0.036136242241580074
train,-0.096,-0.12,-0.005445041444016585,0.0,0.02552281152118363
heldout,-0.096,-0.108,-0.005734118803215504,0.0,0.022652755458651974
train,-0.096,-0.096,-0.005988612674501459,0.0,0.01975896785216813
heldout,-0.096,-0.08399999999999999,-0.006208240843800561,0.0,0.016841876981366077
train,-0.096,-0.072,-0.0063927262675580465,0.0,0.013901916307568207
heldout,-0.096,-0.06,-0.006541797134505534,0.0,0.010939524403008605
train,-0.096,-0.04799999999999999,-0.00665518692654643,0.0,0.00795514488144411
heldout,-0.096,-0.03599999999999999,-0.006732634478721744,0.0,0.004949226305728249
train,-0.096,-0.023999999999999994,-0.006773884038267397,0.0,0.0019222221281367524
heldout,-0.096,-0.011999999999999997,-0.006778685322734956,0.0,-0.001125409392066512
train,-0.096,0.0,-0.006746793577175336,0.0,-0.004193205279112711
heldout,-0.096,0.01200000000000001,-0.006677969630365932,0.0,-0.007280697901512756
train,-0.096,0.02400000000000002,-0.006571979950074414,0.0,-0.010387415073642714
heldout,-0.096,0.036000000000000004,-0.006428596697349853,0.0,-0.01351288011680607
train,-0.096,0.048000000000000015,-0.006247597779823866,0.0,-0.01665661195582313
heldout,-0.096,0.06,-0.006028766904019767,0.0,-0.019818125197579306
train,-0.096,0.07200000000000001,-0.005771893626648539,0.0,-0.022996930215957168
heldout,-0.096,0.08400000000000002,-0.005476773404899382,0.0,-0.02619253324398496
train,-0.096,0.096,-0.00514320764568621,0.0,-0.029404436443225546
heldout,-0.096,0.10800000000000001,-0.004771003753874292,0.0,-0.032632138002308686
train,-0.096,0.12,-0.004359975179447417,0.0,-0.03587513223018979
heldout,-0.08399999999999999,-0.12,-0.003802181593937609,0.0,0.026151976846022773
train,-0.08399999999999999,-0.108,-0.00409872191601654,0.0,0.023267367681434337
heldout,-0.08399999999999999,-0.096,-0.00436050233257132,0.0,0.020358730595249064
train,-0.08399999999999999,-0.08399999999999999,-0.004587237085810408,0.0,0.017426496010941595
heldout,-0.08399999999999999,-0.072,-0.004778645614563398,0.0,0.014471099598067916
train,-0.08399999999999999,-0.06,-0.004934452616784352,0.0,0.011492982196215085
heldout,-0.08399999999999999,-0.04799999999999999,-0.005054388111148195,0.0,0.00849258973839584
train,-0.08399999999999999,-0.03599999999999999,-0.005138187497737173,0.0,0.00547037318165966
heldout,-0.08399999999999999,-0.023999999999999994,-0.0051855916178047134,0.0,0.0024267884185524835
train,-0.08399999999999999,-0.011999999999999997,-0.005196346812601699,0.0,-0.000637703792549793
heldout,-0.08399999999999999,0.0,-0.005170204981254839,0.0,-0.003722637910430482
train,-0.08399999999999999,0.01200000000000001,-0.005106923637689137,0.0,-0.006827543691245719
heldout,-0.08399999999999999,0.02400000000000002,-0.005006265966575024,0.0,-0.00995194626651763
train,-0.08399999999999999,0.036000000000000004,-0.004868000878301609,0.0,-0.013095366231674621
heldout,-0.08399999999999999,0.048000000000000015,-0.004691903062950725,0.0,-0.01625731972265676
train,-0.08399999999999999,0.06,-0.004477753043270333,0.0,-0.019437318508064294
heldout,-0.08399999999999999,0.07200000000000001,-0.004225337226638287,0.0,-0.02263487006215481
train,-0.08399999999999999,0.08400000000000002,-0.00393444795599715,0.0,-0.02584947766282042
heldout,-0.08399999999999999,0.096,-0.0036048835597584927,0.0,-0.02908064046958092
train,-0.08399999999999999,0.10800000000000001,-0.0032364484006597027,0.0,-0.03232785361656498
heldout,-0.08399999999999999,0.12,-0.0028289529235721866,0.0,-0.03559060829605443
train,-0.072,-0.12,-0.002366312955904948,0.0,0.02678908658571011
heldout,-0.072,-0.108,-0.0026704161128559,0.0,0.023890681149218995
train,-0.072,-0.096,-0.002939592040360095,0.0,0.020967953349437796
heldout,-0.072,-0.08399999999999999,-0.0031735514594344316,0.0,0.018021335640439062
train,-0.072,-0.072,-0.0033720103125142176,0.0,0.015051265790377855
heldout,-0.072,-0.06,-0.0035346898266711557,0.0,0.012058186792396342
train,-0.072,-0.04799999999999999,-0.00366131657592339,0.0,0.009042546797732864
heldout,-0.072,-0.03599999999999999,-0.003751622542636057,0.0,0.006004799034398101
train,-0.072,-0.023999999999999994,-0.003805345177983699,0.0,0.002945401729737007
heldout,-0.072,-0.011999999999999997,-0.0038222274614788665,0.0,-0.0001351819675643462
train,-0.072,0.0,-0.003802017959543713,0.0,-0.003236484066859724
heldout,-0.072,0.01200000000000001,-0.0037444708831160245,0.0,-0.0063580318215850085
train,-0.072,0.02400000000000002,-0.0036493461442854702,0.0,-0.009499347800034919
heldout,-0.072,0.036000000000000004,-0.003516409411933763,0.0,-0.012659949980287077
train,-0.072,0.048000000000000015,-0.0033454321663840547,0.0,-0.01583935182819518
heldout,-0.072,0.06,-0.0031361917530392525,0.0,-0.01903706237565972
train,-0.072,0.07200000000000001,-0.002888471434997819,0.0,-0.022252586323046053
heldout,-0.072,0.08400000000000002,-0.0026020604446422846,0.0,-0.02548542410663046
train,-0.072,0.096,-0.0022767540341889214,0.0,-0.02873507199463443
heldout,-0.072,0.10800000000000001,-0.0019123535251801549,0.0,-0.032001022178540506
train,-0.072,0.12,-0.00150866635692537,0.0,-0.03528276285857945
heldout,-0.06,-0.12,-0.00113797683592054,0.0,0.02743399771965027
train,-0.06,-0.108,-0.0014497409914450143,0.0,0.024522554186445777
heldout,-0.06,-0.096,-0.0017264197037522022,0.0,0.021586495837222497
train,-0.06,-0.08399999999999999,-0.00196772019596847,0.0,0.01862625705950638
heldout,-0.06,-0.072,-0.0021733549361170335,0.0,0.015642277601812804
train,-0.06,-0.06,-0.0023430417010487092,0.0,0.012635002508420978
heldout,-0.06,-0.04799999999999999,-0.0024765036394620576,0.0,0.009604882029445871
train,-0.06,-0.03599999999999999,-0.002573469334006151,0.0,0.006552371561163728
heldout,-0.06,-0.023999999999999994,-0.0026336728624428707,0.0,0.003477931548034885
train,-0.06,-0.011999999999999997,-0.0026568538578704004,0.0,0.0003820274183108374
heldout,-0.06,0.0,-0.0026427575679797144,0.0,-0.0027348705033958254
train,-0.06,0.01200000000000001,-0.00259113491334817,0.0,-0.005872287074382143
heldout,-0.06,0.02400000000000002,-0.002501742544747998,0.0,-0.009029742417121511
train,-0.06,0.036000000000000004,-0.0023743428994636995,0.0,-0.012206752005583521
heldout,-0.06,0.048000000000000015,-0.0022087042566025783,0.0,-0.015402826743227127
train,-0.06,0.06,-0.0020046007913933073,0.0,-0.018617473051263378
heldout,-0.06,0.07200000000000001,-0.001761812628459536,0.0,-0.021850192959416148
train,-0.06,0.08400000000000002,-0.001480125894052331,0.0,-0.025100484182527527
heldout,-0.06,0.096,-0.0011593327672400067,0.0,-0.028367840216314555
train,-0.06,0.10800000000000001,-0.0007992315300396902,0.0,-0.03165175042174617
heldout,-0.06,0.12,-0.00039962661648274,0.0,-0.034951700114971285
train,-0.04799999999999999,-0.12,-0.00011773388913857707,0.0,0.028086559993034665
heldout,-0.04799999999999999,-0.108,-0.0004372554105166182,0.0,0.025162837649639336
train,-0.04799999999999999,-0.096,-0.0007215423988252423,0.0,0.022214210099180676
heldout,-0.04799999999999999,-0.08399999999999999,-0.0009702986033674754,0.0,0.01924111355022795
train,-0.04799999999999999,-0.072,-0.0011832330405042446,0.0,0.016243989626185673
heldout,-0.04799999999999999,-0.06,-0.0013600600582928946,0.0,0.013223285304231336
train,-0.04799999999999999,-0.04799999999999999,-0.0015004994002154326,0.0,0.010179452832603797
heldout,-0.04799999999999999,-0.03599999999999999,-0.0016042762679707445,0.0,0.007112949655108114
train,-0.04799999999999999,-0.023999999999999994,-0.001671121383339108,0.0,0.004024238326738594
heldout,-0.04799999999999999,-0.011999999999999997,-0.001700771049087807,0.0,0.0009137864437347432
train,-0.04799999999999999,0.0,-0.0016929672089152914,0.0,-0.002217933449677467
heldout,-0.04799999999999999,0.01200000000000001,-0.0016474575064204522,0.0,-0.005370443927621427
train,-0.04799999999999999,0.02400000000000002,-0.0015639953430851283,0.0,-0.00854326278165729
heldout,-0.04799999999999999,0.036000000000000004,-0.0014423399352584132,0.0,-0.011735903090170918
train,-0.04799999999999999,0.048000000000000015,-0.0012822563701284373,0.0,-0.014947873314685722
heldout,-0.04799999999999999,0.06,-0.0010835156606805174,0.0,-0.0181786773761905
train,-0.04799999999999999,0.07200000000000001,-0.0008458947996135835,0.0,-0.021427814750618612
heldout,-0.04799999999999999,0.08400000000000002,-0.0005691768122243201,0.0,-0.024694780544343153
train,-0.04799999999999999,0.096,-0.0002531508082287137,0.0,-0.027979065591876573
heldout,-0.04799999999999999,0.10800000000000001,0.00010238796746755985,0.0,-0.031280156542468074
train,-0.04799999999999999,0.12,0.0004976380850873208,0.0,-0.03459753595308479
heldout,-0.03599999999999999,-0.12,0.0006938361789750186,0.0,0.02874661602120243
train,-0.03599999999999999,-0.108,0.0003664628078067361,0.0,0.025811375042039675
heldout,-0.03599999999999999,-0.096,7.446392457967355e-05,0.0,0.02285094059639725
train,-0.03599999999999999,-0.08399999999999999,-0.00018186077101887965,0.0,0.019865750590652986
heldout,-0.03599999999999999,-0.072,-0.00040221686720774696,0.0,0.016856248420404896
train,-0.03599999999999999,-0.06,-0.0005863153054488229,0.0,0.013822882887759569
heldout,-0.03599999999999999,-0.04799999999999999,-0.0007338724448710948,0.0,0.010766108121673668
train,-0.03599999999999999,-0.03599999999999999,-0.0008446101257610777,0.0,0.007686383505234318
heldout,-0.03599999999999999,-0.023999999999999994,-0.0009182557321115586,0.0,0.004584173593780161
train,-0.03599999999999999,-0.011999999999999997,-0.0009545422532088871,0.0,0.0014599480352428529
heldout,-0.03599999999999999,0.0,-0.0009532083442605893,0.0,-0.0016858185128421077
train,-0.03599999999999999,0.01200000000000001,-0.0009139983860335515,0.0,-0.004852646462716326
heldout,-0.03599999999999999,0.02400000000000002,-0.0008366625435064362,0.0,-0.008040051379665236
train,-0.03599999999999999,0.036000000000000004,-0.0007209568235170133,0.0,-0.011247544071113502
heldout,-0.03599999999999999,0.048000000000000015,-0.0005666431313930825,0.0,-0.014474630657956844
train,-0.03599999999999999,0.06,-0.00037348932655732747,0.0,-0.017720812687249676
heldout,-0.03599999999999999,0.07200000000000001,-0.00014126927709688653,0.0,-0.020985587186883592
train,-0.03599999999999999,0.08400000000000002,0.00013023708671890122,0.0,-0.02426844677105855
