split,z0,z1,signed_cost,dz0_dt,dz1_dt
train,-0.12,-0.12,-0.009349668039135173,0.04889961824794398,0.024288849474196628
heldout,-0.12,-0.108,-0.009624125474153256,0.049500156227844094,0.02145016362559149
train,-0.12,-0.096,-0.009864379458156547,0.05008410560974896,0.018588344528336354
heldout,-0.12,-0.08399999999999999,-0.010070154929049502,0.05065116667091196,0.015703815846312974
train,-0.12,-0.072,-0.010241181939095068,0.051201042129689345,0.012797006298803648
heldout,-0.12,-0.06,-0.010377195715230436,0.05173343721964763,0.009868349598318726
train,-0.12,-0.04799999999999999,-0.010477936718478631,0.05224805974229918,0.006918284370382999
heldout,-0.12,-0.03599999999999999,-0.010543150702486792,0.05274462013538095,0.003947254078318085
train,-0.12,-0.023999999999999994,-0.010572588771136537,0.05322283152614515,0.0009557069491350489
heldout,-0.12,-0.011999999999999997,-0.010566007435253044,0.05368240979353178,-0.0020559040994627686
train,-0.12,0.0,-0.010523168668372329,0.05412307362812063,-0.005087121542624029
heldout,-0.12,0.01200000000000001,-0.010443839961577384,0.05454454459319358,-0.00813748332606501
train,-0.12,0.02400000000000002,-0.010327794377372412,0.054946547174694604,-0.011206522948226105
heldout,-0.12,0.036000000000000004,-0.01017481060260661,0.05532880884867586,-0.014293769537432333
train,-0.12,0.048000000000000015,-0.009984673000416167,0.05569106012431879,-0.017398747927666047
heldout,-0.12,0.06,-0.00975717166118617,0.056033034623870215,-0.02052097875709924
train,-0.12,0.07200000000000001,-0.009492102452520412,0.05635446911123054,-0.02365997853581714
heldout,-0.12,0.08400000000000002,-0.009189267068207885,0.05665510356245296,-0.026815259733248276
train,-0.12,0.096,-0.00884847307617509,0.056934681216813665,-0.02998633087114566
heldout,-0.12,0.10800000000000001,-0.008469533965415721,0.057192948637874164,-0.033172696598249285
train,-0.12,0.12,-0.008052269191889838,0.057429655747343045,-0.03637385778632041
heldout,-0.108,-0.12,-0.007294370840154496,0.04316896938139081,0.02490172630542631
train,-0.108,-0.108,-0.007576086727470455,0.043778153480111826,0.02204697861302174
heldout,-0.108,-0.096,-0.007823404618997443,0.04437150238567611,0.019168797621149647
train,-0.108,-0.08399999999999999,-0.008036045866151698,0.044948718091741835,0.016267609354581047
heldout,-0.108,-0.072,-0.008213736963440854,0.04550950492288042,0.013343844964541773
train,-0.108,-0.06,-0.008356209609513776,0.04605356961229212,0.010397940643780412
